id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12402289,FarmLife Studio and B&B 2 rooms,67064470,Ruth,Albert,Hillsborough,45.87192,-64.6661,Private room,175,2,41,2022-06-07,0.55,4,298,3,
16227524,Lake House,97761588,Deborah Joy,York,Canterbury,45.91133,-67.37297,Entire home/apt,295,30,18,2021-07-31,0.27,1,362,1,
16274637,Moncton Suites on Université - Modern suite,55189903,Raphaël,Westmorland,Moncton,46.0973,-64.78607,Entire home/apt,129,4,39,2019-09-25,0.58,1,0,0,
12469233,The Lavender Room at FarmLife Studio and B&B,67064470,Ruth,Albert,Hillsborough,45.8721,-64.66584,Private room,79,2,55,2021-09-25,0.76,4,308,10,
12470149,The Cardinal Room at FarmLife Studio and B&B,67064470,Ruth,Albert,Hillsborough,45.87092,-64.66469,Private room,99,2,23,2022-05-17,0.31,4,325,5,
12578927,2 BRM Modern Open Concept II with Central A/C,50017803,Dan,Westmorland,Moncton,46.0992,-64.79155,Entire home/apt,93,1,84,2019-11-01,1.16,2,280,0,
2148508,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Private room,35,1,149,2022-06-03,1.48,5,314,21,
12615150,Beautiful waterview cottage.,39864275,Jeffrey & Bella,Westmorland,Shediac,46.23633,-64.48645,Entire home/apt,225,3,16,2021-08-21,0.23,2,119,2,
12636386,Cosy cottage with private beach,68622444,Patsy,Queens,Canning,45.89724,-66.13401,Entire home/apt,130,7,27,2021-08-30,0.37,1,277,6,
2535589,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,150,7,44,2020-08-08,0.45,1,296,0,
2550351,Counting sheep guest suites #1 (adult only),12298363,Heather And Joey,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,49,2021-01-05,0.82,3,230,0,
12770131,Lovely cottage by the Bay,69480808,Frances,Westmorland,Shediac,46.23698,-64.45967,Entire home/apt,100,3,57,2019-09-20,0.77,1,296,0,
12898321,"@NeonHideaway 8min→✈ | DT 3mins | 55""TV | 5★Stay",44677735,Alex,Westmorland,Moncton,46.088455,-64.736099,Entire home/apt,175,1,87,2022-06-19,8.47,1,223,87,
2558458,Music of the Trees - Near the Sea,12963726,Sandra,Northumberland,Alnwick,47.1967,-65.14315,Entire home/apt,60,3,62,2022-05-30,0.73,1,283,6,
